code,material,en,source,parent_code,single_use,groupname,fr,de
G100,Plastic,Medical; containers/tubes/ packaging,Medical,G100,True,waste water,Médical conteneurs/tubes/ emballages,Medizin; Behälter/Röhrchen/Verpackungen
G101,Plastic,Dog feces bag,Utility items,G101,False,personal items,Sac pour déjections canines,"Robidog Hundekot-Säcklein, andere Hundekotsäcklein"
G102,Plastic,Flip-flops,Clothing,G102,False,personal items,Tongs,Flip-Flops
G103,Plastic,Plastic fragments rounded <5mm,Undefined,G103,False,micro plastics (< 5mm),fragments de plastique arrondis <5mm,Kunststofffragmente rund <5mm
G104,Plastic,Plastic fragments subrounded <5mm,Undefined,G104,False,micro plastics (< 5mm),"fragments de plastique sous-arrondis < 0,5cm","Kunststofffragmente abgerundet / rundlich  <5mm (jedoch noch nicht ""schön"" rund)"
G105,Plastic,Plastic fragments subangular <5mm,Undefined,G105,False,micro plastics (< 5mm),fragments de plastique subangulaires <5mm,Kunststofffragmente subangulär <5mm
G106,Plastic,Plastic fragments angular <5mm,Undefined,G106,False,micro plastics (< 5mm),Fragments de plastique angulaires <5mm,Kunststofffragmente eckig <5mm
G107,Plastic,Cylindrical pellets < 5mm,Industry,G107,False,micro plastics (< 5mm),Boulettes cylindriques < 5mm,Zylindrische Pellets <5mm
G108,Plastic,disk pellets  <5mm,Industry,G108,False,micro plastics (< 5mm),pastilles de disque <5mm,Scheibenförmige Pellets <5mm
G109,Plastic,Flat pellets  <5mm,Industry,G109,False,micro plastics (< 5mm),Pellets plats <5mm,Flache Pellets <5mm
G11,Plastic,"Cosmetics for the beach, e.g. sunblock",Personal hygiene,G11,False,recreation,Produits cosmétiques pour la plage,"Kosmetika für den Strand, z.B. Sonnencreme"
G110,Plastic,Ovoid pellets < 5mm,Industry,G110,False,micro plastics (< 5mm),Granules ovoïdes < 5mm,Eiförmige Pellets < 5mm
G111,Plastic,Spheruloid pellets < 5mm,Industry,G111,False,micro plastics (< 5mm),Granulés sphéroïdes < 5mm,Kugelförmige Pellets < 5mm
G112,Plastic,Industrial pellets (nurdles),Industry,G112,False,micro plastics (< 5mm),Pellets industriels (GPI),Industriepellets (Nurdles)
G113,Plastic,Filaments  <5mm,Undefined,G113,False,micro plastics (< 5mm),Filaments <5mm,Fäden <5mm
G114,Plastic,Films  <5mm,Undefined,G114,False,micro plastics (< 5mm),Films <5mm,Folien <5mm
G115,Plastic,Foamed  plastic <5mm,Undefined,G115,False,micro plastics (< 5mm),Mousse de plastique <5mm,Schaumstoff <5mm
G116,Plastic,Granules <5mm,Industry,G116,False,micro plastics (< 5mm),Granules <5mm,Granulat <5mm
G117,Plastic,Styrofoam < 5mm,Undefined,G117,False,micro plastics (< 5mm),polystyrène < 5mm,Styropor < 5mm
G118,Plastic,Small industrial spheres <5mm,Industry,G118,False,micro plastics (< 5mm),Petites sphères industrielles <5mm,Kleine Industrielle Kügelchen <5mm
G119,Plastic,Sheetlike user plastic (>1mm),Undefined,G119,False,micro plastics (< 5mm),Plastique utilisateur en feuille (>1mm),Folienartiger Kunststoff (>1mm)
G12,Plastic,"Cosmetics, non-beach use personal care containers",Personal hygiene,G12,True,personal items,Récipients de soins personnels non destinés à la plage,"Kosmetika, Behälter für Körperpflegeprodukte, die nicht am Strand verwendet werden"
G120,Plastic,Threadlike user plastic ( >1mm),Undefined,G120,False,micro plastics (< 5mm),Plastique utilisateur filiforme ( >1mm),Fadenförmiger Kunststoff ( >1mm)
G121,Plastic,Foamed user plastic ( >1mm),Undefined,G121,False,micro plastics (< 5mm),Plastique utilisateur moussé ( >1mm),Geschäumter Kunststoff ( >1mm)
G122,Plastic,Plastic fragments ( >1mm),Undefined,G122,False,micro plastics (< 5mm),Fragments de plastique ( >1mm),Kunststofffragmente (>1mm)
G123,Plastic,Polyurethane granules < 5mm,Industry,G123,False,micro plastics (< 5mm),Granulés de polyuréthane < 5mm,Polyurethan-Granulat < 5mm
G124,Plastic,Other plastic or foam products,Undefined,G124,False,unclassified,Autres produits en plastique ou en mousse,Andere Kunststoff - oder Schaumstoffprodukte
G13,Plastic,"Bottles, containers, drums to transport, store material",Packaging,G13,False,agriculture,"Bouteilles, conteneurs, fûts pour le transport, le stockage","Flaschen, Behälter, Fässer zum Transportieren und Lagern von Material"
G14,Plastic,Engine oil bottles,Packaging,G14,False,unclassified,Bouteilles d'huile moteur,Flaschen für Motoröl (Motorölflaschen)
G15,Plastic,Engine oil bottles > 50cm,Packaging,G15,False,unclassified,Bouteilles d'huile moteur > 50cm,"Flaschen für Motoröl, Motorölflaschen > 50cm"
G16,Plastic,Jerry cans,Packaging,G16,False,unclassified,Jerrycan,Kanister
G17,Plastic,Injection gun cartridge,Packaging,G17,False,infrastructure,Cartouche pour pistolet d'injection,Kartuschen von Kartuschen-spritzpistolen
G18,Plastic,Crates/baskets,Packaging,G18,False,agriculture,Caisses/paniers,Kisten/Körbe
G19,Plastic,Car parts,Vehicle,G19,False,unclassified,Pièces détachées pour voitures,Autoteile
G2,Plastic,Bags,Packaging,G2,True,packaging non food,Sacs,"Säcke, Taschen"
G20,Plastic,Caps and lids,Packaging,G20,True,packaging non food,Capsules et couvercles,Laschen und Deckel
G211,Plastic,"Other medical (swabs, bandaging, adhesive plaster)",Medical,G211,True,personal items,"Autres articles médicaux: compresses, pansements","Sonstiges medizinisches Material (Tupfer, Verbandsmaterial, Pflaster)"
G25,Plastic,"Tobacco; plastic packaging, containers",Tobacco,G25,True,tobacco,Tabac emballages en plastique,"Tabak; Kunststoffverpackungen, Behälter"
G26,Plastic,Cigarette lighters,Tobacco,G26,False,tobacco,Allume-cigarettes,Feuerzeug
G27,Plastic,Cigarette filters,Tobacco,G27,True,tobacco,Mégots et filtres à cigarettes,Zigarettenfilter
G28,Plastic,"Pens, lids, mechanical pencils etc.",Utility items,G28,False,personal items,"Stylos, couvercles, porte-mines","Stifte, Deckel, Druckbleistifte usw."
G29,Plastic,"Combs, brushes and sunglasses",Utility items,G29,False,personal items,"Peignes, brosses et lunettes de soleil","Kämme, Bürsten und Sonnenbrillen"
G3,Plastic,Bags; plastic shopping/carrier/grocery and pieces,Packaging,G3,True,packaging non food,Sacs en plastique pour achats et pièces,"Taschen; Einkaufstaschen, Shoppingtaschen, Lebensmitteltaschen aus Kunststoff und Stücke"
G30,Plastic,"Food wrappers; candy, snacks",Packaging,G30,True,food and drink,"Emballages de bonbons, de snacks","Lebensmittelverpackungen; Süssigkeiten, Snacks"
G31,Plastic,Lollypop sticks,Packaging,G31,True,food and drink,Bâtonnets de sucette,"Schleckstengel, Stengel von Lutscher, Lollypop Stengel"
G32,Plastic,Toys and party favors,Recreation,G32,False,recreation,Jouets et faveurs de fête,Spielzeug und Partyartikel
G33,Plastic,"Cups, lids, single use foamed and hard plastic",Packaging,G33,True,food and drink,"Gobelets, couvercles, mousse à usage unique et plastique dur","Einwegartikel; Tassen/Becher & Deckel, Schaumstoff- und Hartplastik"
G34,Plastic,"Cutlery, plates and trays",Food,G34,True,food and drink,"Couverts, assiettes et plateaux palstique","Besteck, Teller und Tabletts"
G35,Plastic,Straws and stirrers,Food,G35,True,food and drink,Pailles et agitateurs,Strohhalme und Rührstäbchen
G36,Plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,G36,True,agriculture,Sacs/sacs en plastique résistant pour 25 kg ou plus,"Säcke aus strapazierfähigem Kunststoff für 25 kg oder mehr; Tierfutter, Dünger, Gartenabfälle usw."
G37,Plastic,Mesh bags,Packaging,G37,False,personal items,Sacs à mailles,"Netzbeutel, Netztasche, Netzsäcke"
G38,Plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,G38,True,unclassified,Couvertures; emballages en plastique gros calibre,"Abdeckungen; Kunststoffverpackungen, Folien zum Schutz grosser Ladungen"
G39,Plastic,Gloves,Clothing,G39,False,personal items,Gants,Handschuhe
G4,Plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,G4,True,packaging non food,"Petits sacs en plastique ; congélateur, zip-lock","Kleine Plastikbeutel; Gefrierbeutel, Zippsäckchen, (Zip-Lock-Beutel) usw."
