lake,river_name,size,class,attribute,slug,attribute_type
Le Léman,L'Ognona,10,10,Fluss,ognonnaz-1,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,maladaire,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,le-pierrier,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,baye-de-clarens,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,pierrier-sud,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,maladaire,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,le-pierrier,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,baye-de-clarens,river intersection
Le Léman,Baye de Clarens,9,9,Fluss,pierrier-sud,river intersection
Le Léman,Baye de Montreux,9,9,Fluss,baye-de-montreux-g,river intersection
Le Léman,Baye de Montreux,9,9,Fluss,baye-de-montreux-d,river intersection
Le Léman,Baye de Montreux,9,9,Fluss,baye-de-montreux-g,river intersection
Le Léman,Baye de Montreux,9,9,Fluss,baye-de-montreux-d,river intersection
Le Léman,Le Rhône,2,4,Fluss,grand-clos,river intersection
Le Léman,Le Tové,10,10,Fluss,grand-clos,river intersection
Le Léman,Le Flon,10,10,Fluss_U,vidy-ruines,river intersection
Le Léman,Le Flon,10,10,Fluss_U,vidy,river intersection
Le Léman,Le Flon,10,10,Fluss_U,lacleman_vidy_santie,river intersection
Le Léman,Canal Stockalper,18,8,Fluss,grand-clos,river intersection
Le Léman,Le Tové,10,10,Fluss,grand-clos,river intersection
Le Léman,Le Rhône,1,4,Fluss,baby-plage-geneva,river intersection
Le Léman,Le Rhône,1,4,Fluss,pont-sous-terre,river intersection
Le Léman,Le Rhône,1,4,Fluss,baby-plage-ii-geneve,river intersection
Le Léman,Le Rhône,1,4,Fluss,rocky-plage,river intersection
Zürichsee,Tobelbach,9,9,Fluss,zuerichsee_staefa_hennm,river intersection
Zürichsee,Tobelbach,9,9,Fluss,zuerichsee_staefa_hennm,river intersection
Zürichsee,Dorfbach,9,9,Fluss,zurichsee_kusnachterhorn_thirkell-whitej,river intersection
Zürichsee,Dorfbach,9,9,Fluss,kusnachter-dorfbach-tobelweg-1-4,river intersection
Zürichsee,Dorfbach,9,9,Fluss,zurichsee_kusnachterhorn_thirkell-whitej,river intersection
Zürichsee,Dorfbach,9,9,Fluss,kusnachter-dorfbach-tobelweg-1-4,river intersection
Zürichsee,Wildbach,9,9,Fluss,zurichsee_wollishofen_langendorfm,river intersection
Zürichsee,Wildbach,9,9,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Wildbach,9,9,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Wildbach,9,9,Fluss,zurichsee_wollishofen_langendorfm,river intersection
Zürichsee,Wildbach,9,9,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Wildbach,9,9,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Limmat,4,4,Fluss,zurcher-strand,river intersection
Zürichsee,Limmat,4,4,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Limmat,4,4,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Limmat,4,4,Fluss,sihl_zuerich_scherfs,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zurcher-strand,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,sihl_zuerich_scherfs,river intersection
Zürichsee,Limmat,4,4,Fluss,zurcher-strand,river intersection
Zürichsee,Limmat,4,4,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Limmat,4,4,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Limmat,4,4,Fluss,sihl_zuerich_scherfs,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zurcher-strand,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zuerichsee_zurich_kullg,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,zurichsee-feldeggstr-banningersand,river intersection
Zürichsee,Schanzengraben,20,10,Fluss,sihl_zuerich_scherfs,river intersection
Zürichsee,Reidbach,10,10,Fluss_U,zuerichsee_richterswil_benkoem_2,river intersection
Zürichsee,Reidbach,10,10,Fluss_U,zuerichsee_waedenswil_colomboc_1,river intersection
Zürichsee,Reidbach,10,10,Fluss_U,zuerichsee_richterswil_benkoem_2,river intersection
