NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
Thunersee,Aare,"0","5","4",Fluss,thun-strandbad
Thunersee,Hünibach,"0","9","9",Fluss,thun-strandbad
Thunersee,Kander,"0","5","5",Fluss,delta-park
Thunersee,Kander,"0","5","5",Fluss,camping-gwatt-strand
Thunersee,Aare,"0","5","4",Fluss,thun-strandbad
Thunersee,Kander,"0","5","5",Fluss,delta-park
Thunersee,Kander,"0","5","5",Fluss,camping-gwatt-strand
Thunersee,Schifffahrtskanal,"0","20","10",Fluss,weissenau-neuhaus
Bielersee,Mülibach,"0","10","10",Fluss,bielersee_vinelz_fankhausers
Bielersee,Mülibach,"0","10","10",Fluss,erlach-camping-strand
Bielersee,La Suze,"0","7","7",Fluss,mullermatte
Bielersee,La Suze,"0","7","7",Fluss,strandboden-biel
Bielersee,La Suze,"0","7","7",Fluss,nidau-strand
Bielersee,Canal de la Thielle,"0","15","5",Fluss,camp-des-peches
Bielersee,Canal de la Thielle,"0","15","5",Fluss,gals-reserve
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,erlach-camping-strand
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,camp-des-peches
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,gals-reserve
Zürichsee,Jona,"0","7","7",Fluss,rastplatz-stampf
Zürichsee,Jona,"0","7","7",Fluss,jona-river-rastplatz
Zürichsee,Jona,"0","7","7",Fluss,strandbeiz
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,erlach-camping-strand
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,camp-des-peches
Bielersee,Ruisseau de Vaux,"0","9","9",Fluss,gals-reserve
Bielersee,Mülibach,"0","10","10",Fluss,bielersee_vinelz_fankhausers
Bielersee,Mülibach,"0","10","10",Fluss,erlach-camping-strand
Bielersee,Canal de la Thielle,"0","15","5",Fluss,camp-des-peches
Bielersee,Canal de la Thielle,"0","15","5",Fluss,gals-reserve
,Anderbach,"0","8","8",Fluss,unterdsee_ermatingen_brunkem
,Steinach,"0","9","9",Fluss,bodensee_steinach_dolder_a
,Steinach,"0","9","9",Fluss,bodensee_horn_huberm
